Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\codecs.py:1073(make_encoding_map)
        2    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:115(__init__)
        4    0.000    0.000    0.008    0.002 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\InvoiceGenerator\pdf.py:211(_drawAddress)
       91    0.000    0.000    0.074    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:3159(__init__)
       24    0.000    0.000    0.008    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\InvoiceGenerator\conf.py:10(get_gettext)
       14    0.000    0.000    0.002    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\babel\numbers.py:990(apply)
      150    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      182    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\babel\localedata.py:236(__getitem__)
       38    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\lib\abag.py:21(clone)
       42    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:704(getAscentDescent)
       75    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1059    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       30    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
        7    0.000    0.000    0.002    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\simpledialog.py:165(buttonbox)
       28    0.000    0.000    0.004    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:1004(format)
       74    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
       50    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\textobject.py:428(textLine)
      2/1    0.000    0.000 2842.457 2842.457 {built-in method builtins.exec}
        7    0.000    0.000    0.005    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\simpledialog.py:289(body)
        7    0.000    0.000    0.044    0.006 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\tkinter\simpledialog.py:186(ok)
        4    0.000    0.000    0.006    0.002 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:1078(addSubsetObjects)
      384    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:280(seek)
        4    0.000    0.000    0.179    0.045 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:1171(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:591(format)
